BookId,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
1495927,Daughter of Regals and Other Tales,Stephen R. Donaldson,"Donaldson, Stephen R.",,"=""0006169856""","=""9780006169857""",0,3.76,,,,,1984,,2016/07/04,"to-read, ghoomakad","to-read (#157), ghoomakad (#156)",to-read,,,,,,,0,,,,,
2166491,Macintosh System 7.5 for Dummies,Bob LeVitus,"LeVitus, Bob",,"=""1568841973""","=""9781568841977""",0,3.33,For Dummies,Paperback,408,1994,1994,,2016/07/04,"to-read, ghoomakad","to-read (#158), ghoomakad (#157)",to-read,,,,,,,0,,,,,
1745409,Asgard,Nigel Frith,"Frith, Nigel",,"=""0048232092""","=""9780048232090""",0,3.00,,,,,1977,,2016/07/04,"to-read, ghoomakad","to-read (#156), ghoomakad (#155)",to-read,,,,,,,0,,,,,
4953,A Heartbreaking Work of Staggering Genius,Dave Eggers,"Eggers, Dave",,"=""0375725784""","=""9780375725784""",0,3.67,Vintage,Paperback,496,2001,2000,,2016/07/04,"to-read, ghoomakad","to-read (#155), ghoomakad (#154)",to-read,,,,,,,0,,,,,
1062188,Everything you have is mine,Sandra Scoppettone,"Scoppettone, Sandra",,"=""1853814792""","=""9781853814792""",0,3.76,Virago,,272,1992,1991,,2016/07/04,"to-read, ghoomakad","to-read (#154), ghoomakad (#153)",to-read,,,,,,,0,,,,,
437049,The Hobbit or There and Back Again,J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0618002219""","=""9780618002214""",0,4.23,Houghton Mifflin,Paperback,275,1999,1937,,2016/07/04,"to-read, ghoomakad","to-read (#153), ghoomakad (#152)",to-read,,,,,,,0,,,,,
49891,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0618002243""","=""9780618002245""",0,4.49,Houghton Mifflin Harcourt,Paperback,410,1999,1955,,2016/07/04,"to-read, ghoomakad","to-read (#152), ghoomakad (#151)",to-read,,,,,,,0,,,,,
16694,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0618002235""","=""9780618002238""",0,4.40,Houghton Mifflin Harcourt,Paperback,328,1999,1954,,2016/07/04,"to-read, ghoomakad","to-read (#151), ghoomakad (#150)",to-read,,,,,,,0,,,,,
561603,A Village Divided,Rahi Masoom Raza,"Raza, Rahi Masoom",Gillian Wright,"=""0143029835""","=""9780143029830""",0,4.17,Penguin India,,352,2003,1966,,2016/07/04,"to-read, ghoomakad","to-read (#150), ghoomakad (#149)",to-read,,,,,,,0,,,,,
3737277,Fever,Sean Rowe,"Rowe, Sean",,"=""0316013366""","=""9780316013369""",0,2.66,Little Brown and Company,Paperback,226,2006,2005,,2016/07/04,"to-read, ghoomakad","to-read (#149), ghoomakad (#148)",to-read,,,,,,,0,,,,,
